번호,정답,답지수,난이도,변별도,반응도,1번표기,,,,2번표기,,,,3번표기,,,,4번표기,,,,5번표기,,,,무표기,,,,중복표기,,,,합계,,
,,,,,,상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원
67,5,5,0,0.11,0.1,2,7,13,10.57%,16,12,53,43.09%,9,8,38,30.89%,2,2,7,5.69%,6,2,12,9.76%,0,0,0,0%,0,0,0,0%,35,31,123
68,1,5,0,0.14,0.08,6,1,10,8.13%,3,6,23,18.7%,3,2,9,7.32%,18,13,60,48.78%,5,9,21,17.07%,0,0,0,0%,0,0,0,0%,35,31,123
69,4,5,68.24,0.37,0.74,1,0,2,1.63%,1,4,5,4.07%,0,5,11,8.94%,31,16,91,73.98%,2,4,12,9.76%,0,1,1,0.81%,0,1,1,0.81%,35,29,123
70,3,5,55.94,0.17,0.64,0,0,2,1.63%,0,0,1,0.81%,23,15,79,64.23%,5,7,14,11.38%,7,8,26,21.14%,0,1,1,0.81%,0,0,0,0%,35,30,123
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
